2009-12-29 02:54:42 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 02:54:42 Debug: Notice (8): Undefined index:   in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 02:54:42 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 344]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  1 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 273]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  2 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 274]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  3 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 275]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 276]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 277]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  7 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 279]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 254]
2009-12-29 02:54:42 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 258]
2009-12-29 03:17:11 Debug: Notice (8): Undefined offset:  0 in [Z:\www\app\plugins\newsletter\views\newsletters\admin_view.ctp, line 11]
2009-12-29 03:17:11 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 03:17:11 Debug: Notice (8): Undefined index:   in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 03:17:11 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 344]
2009-12-29 03:17:11 Debug: Notice (8): Undefined offset:  1 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 273]
2009-12-29 03:17:12 Debug: Notice (8): Undefined offset:  2 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 274]
2009-12-29 03:17:12 Debug: Notice (8): Undefined offset:  3 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 275]
2009-12-29 03:17:12 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 276]
2009-12-29 03:17:12 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 277]
2009-12-29 03:17:12 Debug: Notice (8): Undefined offset:  7 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 279]
2009-12-29 03:17:12 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 254]
2009-12-29 03:17:12 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 258]
2009-12-29 03:17:49 Debug: Notice (8): Undefined offset:  0 in [Z:\www\app\plugins\newsletter\views\newsletters\admin_view.ctp, line 11]
2009-12-29 03:21:57 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 03:21:57 Debug: Notice (8): Undefined index:   in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 03:21:57 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 344]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  1 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 273]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  2 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 274]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  3 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 275]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 276]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 277]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  7 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 279]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 254]
2009-12-29 03:21:57 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 258]
2009-12-29 03:30:30 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 03:30:30 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 03:30:30 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 03:30:30 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 11:07:34 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 11:07:34 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 11:07:34 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 11:07:34 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:12:13 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:12:13 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:12:36 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:12:36 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:12:41 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:12:41 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:13:27 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:13:27 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:13:57 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\install\views\install\index.ctp, line 2]
2009-12-29 14:13:57 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\install\views\layouts\install.ctp, line 27]
2009-12-29 14:14:00 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\install\views\install\index.ctp, line 2]
2009-12-29 14:14:00 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\install\views\layouts\install.ctp, line 27]
2009-12-29 14:14:01 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\install\views\install\index.ctp, line 2]
2009-12-29 14:14:01 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\install\views\layouts\install.ctp, line 27]
2009-12-29 14:18:30 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:18:30 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:18:47 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 14:18:47 Debug: Notice (8): Undefined index:   in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 14:18:47 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 344]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  1 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 273]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  2 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 274]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  3 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 275]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 276]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 277]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  7 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 279]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 254]
2009-12-29 14:18:47 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 258]
2009-12-29 14:19:52 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 14:19:52 Debug: Notice (8): Undefined index:   in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 14:19:52 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 344]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  1 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 273]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  2 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 274]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  3 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 275]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 276]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 277]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  7 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 279]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 254]
2009-12-29 14:19:52 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 258]
2009-12-29 14:21:13 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 14:21:13 Debug: Notice (8): Undefined index:   in [Z:\www\app\plugins\core\controllers\components\cron.php, line 343]
2009-12-29 14:21:13 Debug: Notice (8): Undefined variable: jobNumber in [Z:\www\app\plugins\core\controllers\components\cron.php, line 344]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  1 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 273]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  2 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 274]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  3 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 275]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 276]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 277]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  7 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 279]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 254]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 258]
2009-12-29 14:21:50 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:21:51 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:22:44 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:22:44 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:23:00 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:23:00 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 27]
2009-12-29 14:23:03 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:23:04 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:23:04 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 27]
