2009-12-31 03:54:16 Warning: Warning (2): file() [<a href='http://php.net/function.file'>function.file</a>]: Filename cannot be empty in [Z:\www\plugins\core\controllers\components\cron.php, line 316]
2009-12-31 03:54:16 Warning: Warning (2): Invalid argument supplied for foreach() in [Z:\www\plugins\core\controllers\components\cron.php, line 156]
2009-12-31 03:54:16 Warning: Warning (2): array_multisort() [<a href='http://php.net/function.array-multisort'>function.array-multisort</a>]: Argument #1 is expected to be an array or a sort flag in [Z:\www\plugins\core\controllers\components\cron.php, line 162]
2009-12-31 04:27:13 Warning: Warning (2): touch() [<a href='http://php.net/function.touch'>function.touch</a>]: Unable to create file Z:\\www\libs\cronjobs\cron.job because No such file or directory in [Z:\www\plugins\core\controllers\components\cron.php, line 356]
2009-12-31 04:27:13 Warning: Warning (2): file(Z:\\www\libs\cronjobs\crontab.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [Z:\www\plugins\core\controllers\components\cron.php, line 316]
2009-12-31 04:27:14 Warning: Warning (2): array_multisort() [<a href='http://php.net/function.array-multisort'>function.array-multisort</a>]: Argument #1 is expected to be an array or a sort flag in [Z:\www\plugins\core\controllers\components\cron.php, line 162]
2009-12-31 04:27:14 Warning: Warning (2): file() [<a href='http://php.net/function.file'>function.file</a>]: Filename cannot be empty in [Z:\www\plugins\core\controllers\components\cron.php, line 316]
2009-12-31 04:27:14 Warning: Warning (2): Invalid argument supplied for foreach() in [Z:\www\plugins\core\controllers\components\cron.php, line 156]
2009-12-31 04:27:14 Warning: Warning (2): array_multisort() [<a href='http://php.net/function.array-multisort'>function.array-multisort</a>]: Argument #1 is expected to be an array or a sort flag in [Z:\www\plugins\core\controllers\components\cron.php, line 162]
2009-12-31 04:27:18 Warning: Warning (2): touch() [<a href='http://php.net/function.touch'>function.touch</a>]: Unable to create file Z:\\www\libs\cronjobs\cron.job because No such file or directory in [Z:\www\plugins\core\controllers\components\cron.php, line 356]
2009-12-31 04:27:18 Warning: Warning (2): file(Z:\\www\libs\cronjobs\crontab.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [Z:\www\plugins\core\controllers\components\cron.php, line 316]
